Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
165,Titouan Droguet,51,0.667,0.6509999999999999,0.633,318,0.091,88,0.025,0.06,0.5820000000000001,0.738,0.529,0.563,0.821,6.3,2.2,51,0.379,0.37200000000000005,0.039,0.033,0.32899999999999996,0.46399999999999997,0.237,6.4,2.4,234.0,281.6,51,0.42200000000000004,127,301,0.56,2.7,5.9,1.12,2.5,0.607,153,252,0.46,2.2,4.9,0.88,1.9,51,1.08,6933,0.516,19,0.684,0.168,113,0.6459999999999999,1089,0.534,42.0,FRA,2580.0,95.0
168,Maks Kasnikowski,55,0.564,0.625,0.627,222,0.052000000000000005,148,0.035,0.08199999999999999,0.5760000000000001,0.715,0.501,0.546,0.773,6.5,2.4,55,0.39299999999999996,0.392,0.068,0.045,0.313,0.508,0.255,6.7,2.6,242.0,301.6,55,0.40299999999999997,166,412,0.63,3.1,7.5,1.27,3.0,0.596,220,369,0.56,2.8,6.7,1.14,2.7,55,1.05,8580,0.508,28,0.536,0.214,131,0.565,1305,0.515,45.7,POL,2988.0,119.0
170,Henrique Rocha,45,0.556,0.608,0.625,174,0.055,191,0.06,0.133,0.5489999999999999,0.6990000000000001,0.49700000000000005,0.574,0.745,6.6,2.6,45,0.406,0.39799999999999996,0.031,0.033,0.35,0.499,0.275,6.7,2.7,259.5,357.0,45,0.40399999999999997,136,337,0.68,3.2,7.5,1.3,3.0,0.606,189,312,0.65,3.0,6.9,1.17,2.7,45,1.03,6464,0.505,13,0.462,0.124,105,0.5329999999999999,977,0.508,44.0,POR,2706.0,105.0
175,Dmitry Popko,56,0.5710000000000001,0.618,0.612,267,0.062,126,0.028999999999999998,0.06,0.517,0.713,0.516,0.5489999999999999,0.757,6.5,2.5,56,0.41,0.40299999999999997,0.038,0.037000000000000005,0.341,0.524,0.304,6.6,2.7,292.0,340.2,56,0.444,199,448,0.69,3.3,8.0,1.47,3.6,0.586,229,391,0.59,2.9,7.0,1.2,2.9,56,1.07,8654,0.514,27,0.29600000000000004,0.2,135,0.563,1322,0.5329999999999999,46.1,KAZ,2958.0,119.0
176,Tristan Schoolkate,54,0.574,0.648,0.644,409,0.10800000000000001,201,0.053,0.122,0.5660000000000001,0.754,0.509,0.58,0.8140000000000001,6.3,2.2,54,0.371,0.36700000000000005,0.059000000000000004,0.040999999999999995,0.298,0.48200000000000004,0.212,6.6,2.5,248.0,352.5,54,0.349,125,358,0.61,2.9,6.6,1.01,2.3,0.573,150,262,0.44,2.1,4.9,0.9,2.1,54,1.06,7713,0.507,29,0.552,0.23399999999999999,124,0.54,1191,0.516,43.9,AUS,2730.0,104.0
179,Juan Pablo Ficovich,57,0.544,0.607,0.607,244,0.06,159,0.039,0.08800000000000001,0.5579999999999999,0.695,0.495,0.5429999999999999,0.735,6.4,2.5,57,0.40399999999999997,0.391,0.052000000000000005,0.055,0.327,0.513,0.27399999999999997,6.6,2.7,293.0,325.8,57,0.431,171,397,0.64,2.9,7.0,1.27,3.0,0.56,215,384,0.6,2.8,6.7,1.25,3.0,57,1.03,8231,0.505,20,0.5,0.14800000000000002,135,0.526,1262,0.507,45.5,ARG,2772.0,110.0
183,Valentin Royer,47,0.574,0.6459999999999999,0.6409999999999999,240,0.07,109,0.032,0.081,0.607,0.7290000000000001,0.517,0.563,0.8190000000000001,6.4,2.3,47,0.376,0.381,0.065,0.032,0.305,0.493,0.22899999999999998,6.5,2.5,286.0,316.3,47,0.397,121,305,0.58,2.7,6.5,1.09,2.6,0.61,153,251,0.46,2.3,5.3,0.88,2.1,47,1.06,6882,0.511,23,0.478,0.207,111,0.55,1068,0.527,44.2,FRA,2742.0,108.0
185,Jan Choinski,45,0.467,0.626,0.619,173,0.053,69,0.021,0.063,0.659,0.6809999999999999,0.52,0.555,0.77,6.5,2.4,45,0.379,0.39,0.087,0.037000000000000005,0.295,0.509,0.24600000000000002,6.6,2.5,220.0,237.6,45,0.409,123,301,0.6,2.8,6.7,1.15,2.7,0.598,171,286,0.57,2.7,6.4,1.07,2.6,45,1.01,6524,0.502,17,0.41200000000000003,0.159,107,0.495,999,0.509,43.0,GBR,2622.0,104.0
186,Matteo Martineau,52,0.5,0.659,0.648,371,0.098,136,0.036000000000000004,0.111,0.677,0.7340000000000001,0.502,0.565,0.8320000000000001,6.3,2.2,52,0.349,0.35100000000000003,0.067,0.034,0.27399999999999997,0.473,0.191,6.3,2.2,195.5,229.4,52,0.397,116,292,0.48,2.4,5.6,0.94,2.2,0.65,186,286,0.48,2.3,5.5,0.81,1.9,52,1.02,7568,0.504,26,0.5379999999999999,0.21100000000000002,123,0.512,1202,0.508,42.3,FRA,2604.0,103.0
188,Murkel Alejandro Dellien Velasco,57,0.544,0.586,0.598,122,0.031,164,0.042,0.121,0.653,0.639,0.484,0.551,0.696,6.5,2.7,57,0.41700000000000004,0.402,0.032,0.046,0.349,0.526,0.306,6.6,2.7,253.0,304.5,57,0.43200000000000005,180,417,0.71,3.2,7.3,1.4,3.2,0.557,229,411,0.69,3.2,7.2,1.41,3.2,57,1.01,7752,0.502,8,0.5,0.062,129,0.512,1187,0.503,48.3,BOL,2898.0,109.0
