Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
27,Tomas Machac,55,0.6,0.634,0.632,265,0.061,142,0.033,0.091,0.6409999999999999,0.6920000000000001,0.53,0.583,0.79,6.4,2.3,55,0.379,0.389,0.08,0.034,0.305,0.503,0.25,6.3,2.4,36.0,64.3,55,0.442,171,387,0.56,2.7,7.0,1.2,3.1,0.598,213,356,0.52,2.5,6.5,1.0,2.6,55,1.04,8675,0.507,21,0.619,0.147,143,0.58,1366,0.519,36.8,CZE,2232.0,97.0
28,Jiri Lehecka,48,0.604,0.6609999999999999,0.644,393,0.109,121,0.034,0.08900000000000001,0.621,0.7440000000000001,0.525,0.5760000000000001,0.841,6.3,2.1,48,0.35100000000000003,0.359,0.07400000000000001,0.03,0.28600000000000003,0.45799999999999996,0.193,6.3,2.2,49.5,70.0,48,0.37200000000000005,111,298,0.52,2.6,6.2,0.96,2.3,0.68,193,284,0.5,2.4,5.9,0.78,1.9,48,1.04,7196,0.506,19,0.579,0.16399999999999998,116,0.578,1147,0.516,41.8,CZE,2598.0,105.0
29,Jordan Thompson,57,0.561,0.647,0.624,395,0.09,72,0.016,0.040999999999999995,0.602,0.7240000000000001,0.531,0.5529999999999999,0.8059999999999999,6.3,2.2,57,0.36200000000000004,0.359,0.062,0.039,0.294,0.47700000000000004,0.193,6.4,2.3,53.0,102.8,57,0.35200000000000004,135,384,0.55,2.6,6.7,0.93,2.4,0.6659999999999999,267,401,0.58,2.8,7.0,0.92,2.4,57,1.03,8845,0.503,22,0.727,0.152,145,0.5379999999999999,1389,0.498,46.8,AUS,2856.0,121.0
30,Francisco Cerundolo,63,0.524,0.62,0.629,200,0.039,194,0.038,0.10800000000000001,0.652,0.6729999999999999,0.519,0.5820000000000001,0.77,6.6,2.5,63,0.38299999999999995,0.387,0.051,0.025,0.319,0.49700000000000005,0.259,6.4,2.5,54.0,78.4,63,0.444,200,450,0.58,2.8,7.1,1.23,3.2,0.602,271,450,0.58,2.8,7.1,1.1,2.8,63,1.01,10119,0.504,28,0.429,0.172,163,0.528,1551,0.515,38.1,ARG,2364.0,102.0
31,Flavio Cobolli,63,0.556,0.63,0.628,387,0.07200000000000001,217,0.04,0.08900000000000001,0.55,0.732,0.504,0.5529999999999999,0.797,6.5,2.4,63,0.358,0.359,0.071,0.038,0.26899999999999996,0.499,0.21100000000000002,6.3,2.2,44.0,69.9,63,0.40700000000000003,175,430,0.52,2.4,6.8,0.99,2.8,0.649,310,478,0.58,2.7,7.6,0.95,2.7,63,0.97,10608,0.496,35,0.4,0.198,177,0.508,1658,0.504,40.7,ITA,2442.0,114.0
32,Alexander Bublik,52,0.5,0.631,0.628,584,0.142,331,0.08,0.20199999999999999,0.603,0.758,0.43700000000000006,0.5479999999999999,0.7829999999999999,6.5,2.4,52,0.35700000000000004,0.36,0.07,0.034,0.29100000000000004,0.462,0.193,6.4,2.3,49.5,70.5,52,0.39,120,308,0.5,2.3,5.9,0.91,2.3,0.624,227,364,0.58,2.8,7.0,1.04,2.6,52,0.97,8110,0.496,26,0.462,0.19699999999999998,132,0.47,1253,0.49,37.4,KAZ,2298.0,97.0
33,Nuno Borges,46,0.522,0.627,0.623,264,0.071,135,0.036000000000000004,0.09699999999999999,0.626,0.705,0.49700000000000005,0.55,0.757,6.5,2.4,46,0.381,0.381,0.062,0.039,0.292,0.527,0.215,6.8,2.6,66.0,88.4,46,0.381,123,323,0.56,2.7,7.0,1.04,2.7,0.585,196,335,0.59,2.8,7.3,1.18,3.0,46,1.02,7629,0.502,29,0.552,0.24600000000000002,118,0.49200000000000005,1144,0.485,41.0,POR,2652.0,113.0
34,Nicolas Jarry,44,0.455,0.659,0.637,397,0.10800000000000001,100,0.027000000000000003,0.07400000000000001,0.632,0.747,0.508,0.5479999999999999,0.83,6.3,2.2,44,0.33,0.33399999999999996,0.071,0.03,0.252,0.465,0.142,6.4,2.1,59.0,101.0,44,0.32799999999999996,83,253,0.43,2.2,5.8,0.72,1.9,0.66,192,291,0.5,2.5,6.6,0.86,2.3,44,0.97,7442,0.493,31,0.419,0.27,115,0.44299999999999995,1167,0.485,46.1,CHI,2982.0,130.0
35,Tallon Griekspoor,64,0.547,0.6709999999999999,0.662,561,0.105,214,0.04,0.111,0.64,0.748,0.532,0.599,0.847,6.3,2.1,64,0.327,0.33799999999999997,0.096,0.032,0.259,0.455,0.149,6.2,2.0,37.0,53.7,64,0.371,126,340,0.4,2.0,5.3,0.73,2.0,0.6409999999999999,232,362,0.43,2.1,5.7,0.75,2.0,64,0.99,10629,0.5,48,0.563,0.27699999999999997,173,0.5379999999999999,1695,0.5,38.3,NED,2352.0,106.0
36,Tomas Martin Etcheverry,60,0.5329999999999999,0.643,0.629,360,0.07200000000000001,101,0.02,0.059000000000000004,0.66,0.7140000000000001,0.505,0.537,0.816,6.5,2.3,60,0.371,0.377,0.073,0.035,0.27899999999999997,0.516,0.223,6.5,2.4,61.5,77.9,60,0.376,172,457,0.59,2.9,7.6,1.08,2.9,0.638,248,389,0.51,2.4,6.5,0.89,2.4,60,1.04,10041,0.506,32,0.406,0.201,159,0.535,1537,0.518,45.1,ARG,2844.0,126.0
